username,last_saved,run,topics,user_select,show_voided,sort_by_shot,ascending,null_shots_first,auto_update,auto_scroll,scroll_top,max_rows,fontsize,show_test,GUID,id
jliptac,3/16/05,1060622,"('HXR','LH','PHYSICS_OPERATOR','SESSION_LEADER','SL_PLAN')",ME,N,-1,0,0,-1,-1,-1,160,2,,{A97927CC-D951-E711-ABE8-0050568A3DF0},{A97927CC-D951-E711-ABE8-0050568A3DF0}
dekow,3/30/05,0,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DAQ_ERRORS','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",me,N,0,-1,-1,-1,-1,0,320,2,Y,{AA7927CC-D951-E711-ABE8-0050568A3DF0},{AA7927CC-D951-E711-ABE8-0050568A3DF0}
gwinn,4/1/05,1090827,"('PHYSICS_OPERATOR','POWER_SYSTEMS','RF','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",,N,0,0,0,-1,-1,-1,320,1,Y,{AB7927CC-D951-E711-ABE8-0050568A3DF0},{AB7927CC-D951-E711-ABE8-0050568A3DF0}
irby,4/2/05,1050413,"('PHYSICS_OPERATOR','SESSION_LEADER','SL_SUMMARY')",,N,-1,-1,-1,-1,-1,0,320,3,N,{AC7927CC-D951-E711-ABE8-0050568A3DF0},{AC7927CC-D951-E711-ABE8-0050568A3DF0}
mlreinke,4/7/05,1101215,"('BOLO','CXRS','DISCHARGE_CLEAN','DNB','DPCS','ECE','EDGE','FILD','HIREX','IMPURITIES','LH','MHD','NEUTRONS','NEUTS_HARDS','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','REFLECTOMETER','RF','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY','TCI','THOMPSON','video','XRAY_PHA','XTOMO','Z_METER')",me,N,-1,0,0,0,-1,-1,160,1,N,{AD7927CC-D951-E711-ABE8-0050568A3DF0},{AD7927CC-D951-E711-ABE8-0050568A3DF0}
hubbard,4/7/05,1160921,"('AVAILABILITY','BES','BOLO','CECE','CFP','cnpa','CXRS','DISCHARGE_CLEAN','DNB','DPCS','dust','ECE','EDGE','ENGOPS','FILD','FTCI','GPI','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','NEUTS_HARDS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_REFLECTOMETER','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SOFTWARE','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",HUBBARD,N,-1,0,0,-1,-1,-1,320,3,N,{AE7927CC-D951-E711-ABE8-0050568A3DF0},{AE7927CC-D951-E711-ABE8-0050568A3DF0}
oyama,4/7/05,1100806,"('PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",Oyama,N,-1,-1,0,-1,-1,-1,80,1,Y,{AF7927CC-D951-E711-ABE8-0050568A3DF0},{AF7927CC-D951-E711-ABE8-0050568A3DF0}
kamiya,4/7/05,0,"('SESSION_LEADER','PHYSICS_OPERATOR')",ME,N,-1,0,0,-1,-1,-1,80,3,,{B07927CC-D951-E711-ABE8-0050568A3DF0},{B07927CC-D951-E711-ABE8-0050568A3DF0}
schmidt,4/11/05,0,"('BES','BOLO','CFP','cnpa','CXRS','DNB','DPCS','dust','ECE','EDGE','HALPHA','HIREX','HXR','HYBRID','IMPURITIES','LH','LPI','MDS-PLUS','MHD','MINI_PROPOSAL','MSE','NEUTRALS','NEUTRONS','OPS','PCI','PHYSICS_OPERATOR','PI','PO_PLAN','PO_SUMMARY','polar','POWER_SYSTEMS','PRESSURE','RANGEFINDER','REFLECTOMETER','RF','RF_MONITOR','RGA','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY','TCI','TESTING','TESTING2','THOMPSON','TRANSPORT','TTCI','video','XRAY_PHA','XTOMO','Z_METER')",ME,N,-1,0,0,-1,-1,-1,80,3,,{B17927CC-D951-E711-ABE8-0050568A3DF0},{B17927CC-D951-E711-ABE8-0050568A3DF0}
bernabei,4/14/05,0,"('LH','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",ME,N,-1,-1,0,-1,-1,-1,80,3,,{B27927CC-D951-E711-ABE8-0050568A3DF0},{B27927CC-D951-E711-ABE8-0050568A3DF0}
